domain_name, registrar, orginization, name, address, city, state, zip_code, country_name
"salmonavideo.com","Pair Domains","Mike Butler Inc","GDPR Redacted","GDPR Redacted","GDPR Redacted","FLORIDA","None","US"
"censuing.com","Pair Domains","Mike Butler Inc","GDPR Redacted","GDPR Redacted","GDPR Redacted","FLORIDA","None","US"
"dreamhostps.com","DreamHost, LLC","None","None","None","None","None","None","None"
"ismartsocial.com","PDR Ltd. d/b/a PublicDomainRegistry.com","thewebdesigns.net","Amit Ghodasara","Milap Nagar, B/24, University Road","Rajkot","None","None","IN"
"contabo.net","RegistryGate GmbH","None","None","None","None","None","None","None"
"hostingraja.in","GoDaddy.com, LLC","None","None","None","None","Karnataka","None","IN"
"enrichdatar.com","GoDaddy.com, LLC","None","None","None","None","Karnataka","None","IN"
"manow.de","None","None","None","None","None","None","None","None"
"nsdwk.com","GoDaddy.com, LLC","None","None","None","None","Lucca","None","IT"
"vmha.us","Tucows Domains Inc.","None","None","None","None","None","None","None"
"ip-51-77-59.eu","None","None","None","None","None","None","None","None"
"idjavahost.com","CV. Jogjacamp","Java Digital Indonesia","None","None","None","Jakarta","None","ID"
"simo.org","UNIREGISTRAR CORP","None","PRIVACYDOTLINK CUSTOMER 4339661","PO BOX 30485","SEVEN MILE BEACH","['Grand Cayman', 'GRAND CAYMAN']","None","KY"
"kristinjoyswarcheck.com","GoDaddy.com, LLC","Domains By Proxy, LLC","Registration Private","['DomainsByProxy.com', '14455 N. Hayden Road']","Scottsdale","Arizona","None","US"
"soccergodrhys.com","eNom, LLC","None","None","None","None","None","None","None"
"edruk.com.bt","None","None","None","None","None","None","None","None"
"en.co.id","Digital Registra","None","None","None","None","None","None","None"
"unisonplatform.com","eNom, LLC","None","None","None","None","None","None","None"
"local.","None","None","None","None","None","None","None","None"
"softwarelivre.org","Register.com, Inc.","['Associacao Software Livre.Org', 'Statutory Masking Enabled']","Statutory Masking Enabled","Statutory Masking Enabled","Statutory Masking Enabled","['RS', 'Statutory Masking Enabled']","None","['BR', 'Statutory Masking Enabled']"
"romania-webhosting.com","PDR Ltd. d/b/a PublicDomainRegistry.com","GDPR Masked","GDPR Masked","GDPR Masked","GDPR Masked","Satu Mare","None","RO"
"vndata.vn","None","None","None","None","None","None","None","None"
"paytren.co.id","PT Qwords Company International","None","None","None","None","None","None","None"
"euphonynet.be","None","Orange Tech Mahindra","Orange SA","None","None","None","None","None"
"myrepublic.co.id","Digital Registra","None","None","None","None","None","None","None"
